,hotel_name,price,reviews,rating,url,key
94,Yays Zoutkeetsgracht Concierged Boutique Apartments,273.0,687.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d8547683-Reviews-Yays_Zoutkeetsgracht_Concierged_Boutique_Apartments-Amsterdam_North_Holland_Province.html,Amsterdam
95,Eric Vokel Boutique Apartments - Amsterdam Suites,340.0,286.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d10170258-Reviews-Eric_Vokel_Boutique_Apartments_Amsterdam_Suites-Amsterdam_North_Holland_Province.html,Amsterdam
96,Hotel Twenty Eight,185.0,117.0,5.0,http://www.tripadvisor.com/Hotel_Review-g188590-d12264597-Reviews-Hotel_Twenty_Eight-Amsterdam_North_Holland_Province.html,Amsterdam
97,Hampton by Hilton Amsterdam Centre East,181.0,739.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d9989955-Reviews-Hampton_by_Hilton_Amsterdam_Centre_East-Amsterdam_North_Holland_Province.html,Amsterdam
98,Shelter Christian Hostel,115.0,612.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d263968-Reviews-Shelter_Christian_Hostel-Amsterdam_North_Holland_Province.html,Amsterdam
99,Apollofirst Hotel,226.0,378.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d232324-Reviews-Apollofirst_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
100,Yays Oostenburgergracht Concierged Boutique Apartments,285.0,687.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d8604952-Reviews-Yays_Oostenburgergracht_Concierged_Boutique_Apartments-Amsterdam_North_Holland_Provinc.html,Amsterdam
101,NH Amsterdam Noord,153.0,819.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d1858853-Reviews-NH_Amsterdam_Noord-Amsterdam_North_Holland_Province.html,Amsterdam
102,Conscious Hotel Museum Square,190.0,1042.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d230905-Reviews-Conscious_Hotel_Museum_Square-Amsterdam_North_Holland_Province.html,Amsterdam
103,Linden Hotel,212.0,437.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d239142-Reviews-Linden_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
104,Yays Bickersgracht Concierged Boutique Apartments,298.0,618.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d8547687-Reviews-Yays_Bickersgracht_Concierged_Boutique_Apartments-Amsterdam_North_Holland_Province.html,Amsterdam
105,BackStage Hotel Amsterdam,390.0,515.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d1116986-Reviews-BackStage_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
106,Chasse Hotel,204.0,150.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d12239660-Reviews-Chasse_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
107,Pestana Amsterdam Riverside,303.0,349.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d12853943-Reviews-Pestana_Amsterdam_Riverside-Amsterdam_North_Holland_Province.html,Amsterdam
108,Hotel Alexander,279.0,693.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d451092-Reviews-Hotel_Alexander-Amsterdam_North_Holland_Province.html,Amsterdam
109,Nicolaas Witsen Hotel,187.0,465.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d264605-Reviews-Nicolaas_Witsen_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
110,Dikker & Thijs Hotel,180.0,1044.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d229164-Reviews-Dikker_Thijs_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
111,Hotel Seven one Seven,365.0,520.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d296630-Reviews-Hotel_Seven_one_Seven-Amsterdam_North_Holland_Province.html,Amsterdam
112,Hotel V Nesplein,267.0,1133.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d3863725-Reviews-Hotel_V_Nesplein-Amsterdam_North_Holland_Province.html,Amsterdam
113,Sir Albert Hotel,299.0,1651.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d3528996-Reviews-Sir_Albert_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
114,Hotel Sint Nicolaas,239.0,1196.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d237568-Reviews-Hotel_Sint_Nicolaas-Amsterdam_North_Holland_Province.html,Amsterdam
115,The Dylan Amsterdam,526.0,742.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d190667-Reviews-The_Dylan_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
116,InterContinental Amstel Amsterdam,532.0,1181.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d190614-Reviews-InterContinental_Amstel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
117,Hotel Twenty Seven,1006.0,82.0,5.0,http://www.tripadvisor.com/Hotel_Review-g188590-d13125240-Reviews-Hotel_Twenty_Seven-Amsterdam_North_Holland_Province.html,Amsterdam
118,Conservatorium Hotel,661.0,1552.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d2418096-Reviews-Conservatorium_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
119,Breitner House,614.0,244.0,5.0,http://www.tripadvisor.com/Hotel_Review-g188590-d3250457-Reviews-Breitner_House-Amsterdam_North_Holland_Province.html,Amsterdam
120,Parkview Hotel,181.0,264.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d264602-Reviews-Parkview_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
121,Skotel Amsterdam,154.0,354.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d2412257-Reviews-Skotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
122,Park Plaza Amsterdam Airport,111.0,2753.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d655846-Reviews-Park_Plaza_Amsterdam_Airport-Amsterdam_North_Holland_Province.html,Amsterdam
123,MEININGER Hotel Amsterdam City West,143.0,2382.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d2663643-Reviews-MEININGER_Hotel_Amsterdam_City_West-Amsterdam_North_Holland_Province.html,Amsterdam
124,Inntel Hotels Amsterdam Centre,248.0,3950.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d230113-Reviews-Inntel_Hotels_Amsterdam_Centre-Amsterdam_North_Holland_Province.html,Amsterdam
125,Hotel The Exchange,237.0,1431.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d2200279-Reviews-Hotel_The_Exchange-Amsterdam_North_Holland_Province.html,Amsterdam
126,Stayokay Hostel Amsterdam Vondelpark,260.0,2053.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d263947-Reviews-Stayokay_Hostel_Amsterdam_Vondelpark-Amsterdam_North_Holland_Province.html,Amsterdam
127,Holiday Inn Express Amsterdam - Arena Towers,123.0,1064.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d5006136-Reviews-Holiday_Inn_Express_Amsterdam_Arena_Towers-Amsterdam_North_Holland_Province.html,Amsterdam
128,Novotel Amsterdam City,154.0,3223.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d1071829-Reviews-Novotel_Amsterdam_City-Amsterdam_North_Holland_Province.html,Amsterdam
129,Hotel V Frederiksplein,185.0,1389.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d967157-Reviews-Hotel_V_Frederiksplein-Amsterdam_North_Holland_Province.html,Amsterdam
130,NH Amsterdam Zuid,122.0,1490.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d1174851-Reviews-NH_Amsterdam_Zuid-Amsterdam_North_Holland_Province.html,Amsterdam
131,NH Amsterdam Caransa,296.0,1131.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d229228-Reviews-NH_Amsterdam_Caransa-Amsterdam_North_Holland_Province.html,Amsterdam
132,Hotel Espresso,186.0,1104.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d3564401-Reviews-Hotel_Espresso-Amsterdam_North_Holland_Province.html,Amsterdam
133,Holiday Inn Amsterdam,154.0,1792.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d229480-Reviews-Holiday_Inn_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
136,Ibis Amsterdam City West,137.0,1793.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d290163-Reviews-Ibis_Amsterdam_City_West-Amsterdam_North_Holland_Province.html,Amsterdam
137,Park Inn by Radisson Amsterdam City West,148.0,296.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d12386100-Reviews-Park_Inn_by_Radisson_Amsterdam_City_West-Amsterdam_North_Holland_Province.html,Amsterdam
138,Via Amsterdam,116.0,212.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d12811360-Reviews-Via_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
