booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Downtown Grand Hotel & Casino,las vegas,20,$186,2747 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d4790631-Reviews-Downtown_Grand_Hotel_Casino-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Renaissance Las Vegas Hotel,las vegas,15,$159,1891 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d489077-Reviews-Renaissance_Las_Vegas_Hotel-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free parking,Restaurant",Main Street Station Hotel & Casino,las vegas,18,$128,1730 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91885-Reviews-Main_Street_Station_Hotel_Casino-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Best Western McCarran Inn,las vegas,14,$170,1682 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d76082-Reviews-Best_Western_McCarran_Inn-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Holiday Inn Express Las Vegas South,las vegas,11,$149,446 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d295317-Reviews-Holiday_Inn_Express_Las_Vegas_South-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Club de Soleil All-Suite Resort,las vegas,9,$169,785 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d97687-Reviews-Club_de_Soleil_All_Suite_Resort-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Fairfield Inn & Suites Las Vegas South,las vegas,12,$129,234 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d294797-Reviews-Fairfield_Inn_Suites_Las_Vegas_South-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Residence Inn by Marriott Las Vegas Convention Center,las vegas,12,$199,416 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d111722-Reviews-Residence_Inn_by_Marriott_Las_Vegas_Convention_Center-Las_Vegas_Nevada.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Home2 Suites by Hilton Las Vegas Strip South,las vegas,12,$159,86 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d13140644-Reviews-Home2_Suites_by_Hilton_Las_Vegas_Strip_South-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Westgate Flamingo Bay Resort,las vegas,12,$157,894 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d234835-Reviews-Westgate_Flamingo_Bay_Resort-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",DoubleTree by Hilton Las Vegas Airport,las vegas,15,$131,1279 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91773-Reviews-DoubleTree_by_Hilton_Las_Vegas_Airport-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Hampton Inn & Suites Las Vegas-Red Rock/Summerlin,las vegas,15,$164,591 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d653214-Reviews-Hampton_Inn_Suites_Las_Vegas_Red_Rock_Summerlin-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Fairfield Inn Las Vegas Convention Center,las vegas,12,$189,432 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91814-Reviews-Fairfield_Inn_Las_Vegas_Convention_Center-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Skylofts at MGM Grand,las vegas,11,$990,442 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d619205-Reviews-Skylofts_at_MGM_Grand-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Restaurant,Room service,Visit hotel website",Park MGM Las Vegas,las vegas,16,$189,8990 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d97712-Reviews-Park_MGM_Las_Vegas-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Luxor Hotel & Casino,las vegas,18,$189,37720 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d111709-Reviews-Luxor_Hotel_Casino-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Plaza Hotel & Casino,las vegas,18,$145,5981 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d97815-Reviews-Plaza_Hotel_Casino-Las_Vegas_Nevada.html
